block_hash,validationPeriod
0x56a51928c8bd563160ac3b60cab9306c08269e0ad9c18b6cd81176eaa6dce534,0 days 00:00:00.000149
0x1e3ac70847452580d42f65664e937ab50988f6a2bedc1290b58ca7faac256f94,0 days 00:00:00.000042
0x3f94cd0e820db3e62b6fe3a153ce3517f7e60950134a97b9cf1cda19c377c402,0 days 00:00:00.000038
0xeadfbc25e665513e32473050d4ff887409148bb82288cddb9af6a1b197a97a61,0 days 00:00:00.000175
0x3ff2122760626b062d2f97642bcd9f5cfb9b48ab58d08e57ba8f57935ffab823,0 days 00:00:00.000058
0xff13f309f95de0928b834d8a672c3744633a59e257e7fbcd2d3d852b704c96cd,0 days 00:00:00.000143
0x4e6f19469b8c9f0dab5235ada51585f425afa9f9b3898aea8e1e45e13fa2ffaf,0 days 00:00:00.000128
0xcef96aaaeb340602e92182d16f435dab4b512955693f92044f4aefc95f19da27,0 days 00:00:00.000147
0x92d88b05721cd4a11256822c1b65e52ce1456fdb21f29839d1848922b8cf91d6,0 days 00:00:00.000143
0xb00b5b5a3d3607071eb4ef979c2d4ced0a6fb5c284bd0f340dbcd8c8fa528c21,0 days 00:00:00.000162
0x0f5d375237f567c8d60b4d2010b41a8aa948399e8a3b72bba1b7d4860f6190d4,0 days 00:00:00.000199
0x461886e1644fde8ea66f44b62af83963f1334a2ab8c4c70aa4245017ecdae2e8,0 days 00:00:00.000158
0x4e720e059ac90d729b9aeadb1d164d63751f8038105f526050f26c9827de23eb,0 days 00:00:00.000032
0x9689b972c08f0d8e344f01ce30de24ca4fc8fa51a40febb4e6ee7644d66e5b57,0 days 00:00:00.000144
0x62ffeee8e371d9eb42eadc435a2952bf8663a9a8d5404a77ac93abbf75c8aeac,0 days 00:00:00.000033
0x97676731c48900869101fb5c537977ec0b52cd655557e827f26d814451f5d701,0 days 00:00:00.000143
0x5f6bac3916b9781f62552283c58c9f64bebf344fd895512d2bcdc2af51ebff41,0 days 00:00:00.000141
0x1e0ab4b8410bf4ba28c0fd0756758518f2d230ae3498f5aef10790aded160285,0 days 00:00:00.000180
0x4ad76c2944548ee9e45f11c5bdff79e35b421ee1e031e1869fa1fb647845d2aa,0 days 00:00:00.000153
0xdb52341c40bcb120979cd2f7c6c8afe8310624ee1671ef746986843963fa46bd,0 days 00:00:00.000176
0x585f0d0e17508b4e8fa8a9cc0a3c565524b4ab627a65977debafe760a54d2db1,0 days 00:00:00.000190
0x29ab72e18117885c5b47c7f7b6296303492f45eaa124ea0c973b323ff3d788a8,0 days 00:00:00.000033
0xaac3c26102c3e92b5525dd8840af0f8d91d998bef004de966544c5b2d4b6a760,0 days 00:00:00.000157
0x7544a58b6efe8f7a86e5e77f43ef43e623aa9dfeef218398a60520083d214599,0 days 00:00:00.000140
0x47a0cd97ad3bf01deedc7cdee2946a725868720aa70c1ba52c58832faa2bf7d6,0 days 00:00:00.000065
0xc8b6bbe957a5588087e3824ab64cd16dfdd7bd9cf0f4e250a6c392897e566926,0 days 00:00:00.000158
0xbf9498dc44e3d43a8caae1ca59871855b9179de0ec6ba2ce3a5f51a956d89480,0 days 00:00:00.000067
0x331393706871664cd815cf853bcb23223304abc3a228b2cb2ff805ebcb95f05d,0 days 00:00:00.000220
0xa0c2d7025c9c1e24bc5e12a05585a77fc0ab40da5c73d03e62f443342adbeb87,0 days 00:00:00.000111
0x051cd4d0647f35ec98dc1e3ed1c2343d6edcb02131da6541f09cb41c4153379e,0 days 00:00:00.000161
0x2d946ff5b89ebb454bac2a91f8c1aaa3d55fedbc00f73145c2ae78313deb10cf,0 days 00:00:00.000158
0xd9d7e5049f074c39b1a45840a40db9ba0cc0ec268f482245a1f40956ab2d6070,0 days 00:00:00.000207
0xc4f311898ba8b826cbd41ae08065c3d104b4e6091ed5d874dc4c11bac86800a3,0 days 00:00:00.000162
